1911	10	13.8	2.87			
1911	11	2.73	6.29			
1911	12	23.17	0			
1912	1	3.7	20.94			
1912	2	9.03	12.54			
1912	3	25.83	8			
1912	4	17.26	0.32			
1912	5	10.69	5.28			
1912	6	6.84	16.75			
1912	7	18.96	2.44			
1912	8	17.25	4.9			
1912	9	7.79	8.48			
1912	10	8.55	0.82			
1912	11	1.64	27.64			
1912	12	4.08	14.74			
1913	1	13.84	0.97			
1913	2	8.17	12.33			
1913	3	14.41	1.03			
1913	4	3.75	8.34			
1913	5	3.41	16.44			
1913	6	22.33	10.5			
1913	7	19.12	9.48			
1913	8	2.68	16.57			
1913	9	9.59	0.5			
1913	10	7.83	7.81			
1913	11	12.5	8.61			
1913	12	18.25	19.14			
1914	1	19.71	18.43			
1914	2	3.13	1.4			
1914	3	0.48	20.42			
1914	4	9.5	1.46			
1914	5	11.62	16.74			
1914	6	15.76	10.28			
1914	7	13.02	11.45			
1914	8	15.48	13.27			
1914	9	3.95	8.22			
1914	10	11.72	1.79			
1914	11	3.12	40.68			
1914	12	10.21	11.59			
1915	1	14.77	0.82			
1915	2	28.04	1.92			
1915	3	3.76	30.19			
1915	4	24.83	24.08			
1915	5	28.24	3.36			
1915	6	10.62	12.61			
1915	7	31.6	4.05			
1915	8	22.1	10.76			
1915	9	10.43	5.25			
1915	10	4.55	24.62			
1915	11	1.62	8.55			
1915	12	5.99	1.04			
1916	1	51.52	2.53			
1916	2	4.31	19.65			
1916	3	7.21	15.67			
1916	4	5.9	6.92			
1916	5	2.73	9.69			
1916	6	9.75	23.39			
1916	7	21.13	15.24			
1916	8	9.81	4.28			
1916	9	1.3	2.98			
1916	10	13.9	2.15			
1916	11	0.26	14.53			
1916	12	7.64	6.22			
1917	1	6.02	0.66			
1917	2	4.59	13.94			
1917	3	6.48	8.78			
1917	4	11.81	3.07			
1917	5	14.75	12.23			
1917	6	5.97	33.13			
1917	7	4.74	19.63			
1917	8	6.33	11.03			
1917	9	3.57	5.96			
1917	10	6.71	42.02			
1917	11	0	46.86			
1917	12	10.88	47.6			
1918	1	11.86	5.22			
1918	2	2.67	17.6			
1918	3	9.04	22.54			
1918	4	7.6	8.87			
1918	5	4.65	11.74			
1918	6	6.04	18.19			
1918	7	5.62	11.34			
1918	8	3.15	2.37			
1918	9	13.47	6.83			
1918	10	10.63	1.65			
1918	11	9.09	0.39			
1918	12	21.49	5.7			
1919	1	1.67	31.62			
1919	2	23.93	0.16			
1919	3	10.36	3.12			
1919	4	9.37	5.17			
1919	5	7.27	8.62			
1919	6	6.56	26.88			
1919	7	18.2	15.32			
1919	8	8.61	16.61			
1919	9	11.71	10.67			
1919	10	28.23	1			
1919	11	23.29	3.02			
1919	12	1.89	15.66			
1920	1	7.8	11.57			
1920	2	8.08	21.23			
1920	3	8.55	2.57			
1920	4	22.89	5.47			
1920	5	3.91	14.96			
1920	6	5.95	3.35			
1920	7	2.9	3.35			
1920	8	22.09	3.19			
1920	9	4.35	2.27			
1920	10	6.66	6.37			
1920	11	3.31	6.48			
1920	12	5.57	5.36			
1921	1	3.48	5.5			
1921	2	0.29	10.65			
1921	3	9.18	5.79			
1921	4	7.22	3.69			
1921	5	9.51	11.7			
1921	6	13.52	10.84			
1921	7	12.58	10.07			
1921	8	9.97	11.12			
1921	9	9.24	7.37			
1921	10	1.54	20.98			
1921	11	14.68	11.19			
1921	12	14.33	8.93			
1922	1	3.46	1.89			
1922	2	15.08	2.07			
1922	3	21.3	4.51			
1922	4	18.58	1.38			
1922	5	7.54	2.01			
1922	6	5.4	12.88			
1922	7	9.72	8.51			
1922	8	9.66	12.7			
1922	9	0.46	29.12			
1922	10	2.08	7.01			
1922	11	15.31	14.79			
1922	12	5.81	18.11			
1923	1	1.87	6.37			
1923	2	9.9	13.86			
1923	3	5.99	11.59			
1923	4	12.21	2.54			
1923	5	11.84	8.77			
1923	6	15.18	7.86			
1923	7	11.41	4.71			
1923	8	16.48	4.87			
1923	9	16.26	2.8			
1923	10	16.77	0.55			
1923	11	7.03	6.11			
1923	12	17.54	1.1			
1924	1	1.29	14.62			
1924	2	3.17	11.61			
1924	3	6.39	13.88			
1924	4	4.48	16.52			
1924	5	3.11	28.97			
1924	6	7.42	24.56			
1924	7	4.73	18.85			
1924	8	4.29	26.78			
1924	9	13.81	3.88			
1924	10	9.97	30.58			
1924	11	0.24	22.1			
1924	12	12.19	0.39			
1925	1	8.46	15			
1925	2	0.71	18.22			
1925	3	2.56	31.23			
1925	4	6.41	15.42			
1925	5	2.4	26.49			
1925	6	15.2	7.17			
1925	7	10.13	8.07			
1925	8	4.57	18.79			
1925	9	14.47	3.6			
1925	10	22.66	1.85			
1925	11	1.49	4.62			
1925	12	5.33	12.83			
1926	1	9.92	1.34			
1926	2	3.88	19.14			
1926	3	15.95	24.68			
1926	4	17.22	20.11			
1926	5	5.12	12.41			
1926	6	1.51	9.25			
1926	7	8.14	3.89			
1926	8	19.46	7.68			
1926	9	21.55	6.69			
1926	10	6.74	5.63			
1926	11	15.13	1.91			
1926	12	17.86	1.05			
1927	1	0.78	17.25			
1927	2	18.21	0.36			
1927	3	6.02	5.21			
1927	4	19	8.76			
1927	5	16.22	20.45			
1927	6	11.77	3.44			
1927	7	4.96	1.59			
1927	8	11.46	7.62			
1927	9	14.54	8.85			
1927	10	9.68	2.96			
1927	11	15.59	9.37			
1927	12	14.1	1.1			
1928	1	1.93	30.64			
1928	2	7.47	12.34			
1928	3	5.78	7.84			
1928	4	13.84	7.48			
1928	5	11.89	21.23			
1928	6	24.88	8.97			
1928	7	12.34	4.67			
1928	8	12.89	9.68			
1928	9	6.97	26.36			
1928	10	8.06	4.33			
1928	11	11.13	11.75			
1928	12	0	13.77			
1929	1	10.6	4.66			
1929	2	4.94	8.31			
1929	3	16.73	3.85			
1929	4	12.36	4.4			
1929	5	17.86	14.02			
1929	6	5.65	15.55			
1929	7	7.64	16.71			
1929	8	4.15	28.52			
1929	9	11.14	7.75			
1929	10	12.63	9.86			
1929	11	6.97	26.34			
1929	12	7.16	22.17			
1930	1	10.72	1.69			
1930	2	4.8	15.02			
1930	3	4.4	18.39			
1930	4	2.42	17.92			
1930	5	16.72	8.18			
1930	6	2.21	17.52			
1930	7	7.13	35.35			
1930	8	10.27	20.84			
1930	9	2.26	4.66			
1930	10	13.86	3.32			
1930	11	10.31	6.16			
1930	12	0.65	45.09			
1931	1	4.27	27.24			
1931	2	12.78	9.74			
1931	3	2.18	4.21			
1931	4	11.71	10.16			
1931	5	1.51	12.3			
1931	6	6.67	19.2			
1931	7	6.85	15.04			
1931	8	12.12	10.14			
1931	9	4.22	18.61			
1931	10	0.95	3.86			
1931	11	19.74	11.5			
1931	12	23.79	2.88			
1932	1	26.52	0			
1932	2	10.24	5.16			
1932	3	9.23	4.94			
1932	4	4.3	6.84			
1932	5	3.4	13.6			
1932	6	9.25	5.5			
1932	7	8.83	4.58			
1932	8	7.95	5.54			
1932	9	6.65	20.32			
1932	10	14.55	3.67			
1932	11	5.07	24.97			
1932	12	15.01	4.53			
1933	1	4.8	6.72			
1933	2	0.61	10.27			
1933	3	4.4	13.68			
1933	4	7.15	6.17			
1933	5	12.34	2.53			
1933	6	2.82	48.53			
1933	7	7.83	13.07			
1933	8	15.51	7.01			
1933	9	4.47	4.99			
1933	10	1.58	12.7			
1933	11	0	29.36			
1933	12	13.83	7.49			
1934	1	1.94	9.84			
1934	2	3.78	19.29			
1934	3	5.48	13.12			
1934	4	0.41	21.76			
1934	5	3.8	41.96			
1934	6	7.05	8.3			
1934	7	1.23	27.67			
1934	8	2.61	13.64			
1934	9	11.16	3.99			
1934	10	3.37	22.24			
1934	11	11.66	2.05			
1934	12	0	4.08			
1935	1	6.95	6.35			
1935	2	1.06	8.92			
1935	3	8.41	3.72			
1935	4	15.07	5.96			
1935	5	24.13	7.66			
1935	6	10.86	22.8			
1935	7	7.07	11.13			
1935	8	5.86	6.5			
1935	9	6.27	13.68			
1935	10	0.12	14.6			
1935	11	2.08	1.93			
1935	12	1.84	10.63			
1936	1	22.23	4.93			
1936	2	25.03	10.9			
1936	3	7.54	19.44			
1936	4	2.96	14.94			
1936	5	6.84	27.14			
1936	6	5.3	32.9			
1936	7	14.56	26.91			
1936	8	2.77	17.13			
1936	9	12.49	1.17			
1936	10	7.97	10.44			
1936	11	0	31.91			
1936	12	9.76	0			
1937	1	32.35	1.36			
1937	2	5.3	7.6			
1937	3	3.65	18.52			
1937	4	14.41	10.26			
1937	5	3.22	15.51			
1937	6	9.25	3.26			
1937	7	12.09	6.77			
1937	8	5.78	15.35			
1937	9	0	6.29			
1937	10	11.95	5.38			
1937	11	2.71	11.35			
1937	12	7.4	3.24			
1938	1	6.38	3.03			
1938	2	15.33	9.04			
1938	3	26.5	2.08			
1938	4	10.35	3.55			
1938	5	10.59	4.76			
1938	6	10.35	3.02			
1938	7	18.75	1.35			
1938	8	1.13	19.05			
1938	9	12.6	9.86			
1938	10	5.64	30.25			
1938	11	1.12	6.63			
1938	12	2.11	8.34			
1939	1	12.96	0.16			
1939	2	25.15	3.02			
1939	3	0.48	8.07			
1939	4	2.98	11.46			
1939	5	0.42	18.74			
1939	6	9.23	7.94			
1939	7	2.31	12.09			
1939	8	6.77	6.43			
1939	9	8.88	26.13			
1939	10	0.02	6.98			
1939	11	2.36	52.56			
1939	12	0.5	8.1			
1940	1	9.17	7.48			
1940	2	15.76	0			
1940	3	4.99	7.31			
1940	4	12.95	0.1			
1940	5	3.95	21.9			
1940	6	11.03	11.69			
1940	7	5.97	22.94			
1940	8	12	16.67			
1940	9	19.16	17.78			
1940	10	3.29	7.1			
1940	11	18.15	1.1			
1940	12	18.87	4.45			
1941	1	7.76	6.54			
1941	2	7.1	19.04			
1941	3	16.06	22.85			
1941	4	34.52	6.07			
1941	5	16.71	20.65			
1941	6	19.64	2.74			
1941	7	11.53	2.57			
1941	8	15.72	3.65			
1941	9	26.97	9.52			
1941	10	43.52	0.96			
1941	11	1.47	4.7			
1941	12	10.78	2.27			
1942	1	0	13.36			
1942	2	3.42	2.38			
1942	3	11.11	8.97			
1942	4	25.47	15.02			
1942	5	20.95	16.25			
1942	6	10.65	10.34			
1942	7	4.16	13			
1942	8	18.03	3.69			
1942	9	4.18	10.27			
1942	10	9.23	2.48			
1942	11	14.05	14.4			
1942	12	13.14	0.62			
1943	1	14.44	11.25			
1943	2	0.69	22.24			
1943	3	4.14	0			
1943	4	3.95	5.68			
1943	5	9.23	5.54			
1943	6	13.15	1.21			
1943	7	4.03	9.96			
1943	8	3.86	23.03			
1943	9	1.99	22.48			
1943	10	4.2	5.1			
1943	11	0.94	12.1			
1943	12	9.08	25.73			
